Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
2297,Exit short,2025-10-22 07:10,Short Exit,4149.1,24,99424.8,-1632,-0.16,0,0.00,-1584,-0.16,4427,0.44
2297,Entry short,2025-10-22 07:00,Short,4142.7,24,99424.8,-1632,-0.16,0,0.00,-1584,-0.16,4427,0.44
2298,Exit long,2025-10-22 07:55,Long Exit,4170.1,24,100149.6,-768,-0.08,360,0.04,-1752,-0.17,3659,0.37
2298,Entry long,2025-10-22 07:40,Long,4172.9,24,100149.6,-768,-0.08,360,0.04,-1752,-0.17,3659,0.37
2299,Exit short,2025-10-22 08:10,Short Exit,4155.3,24,99732,-48,0.00,3288,0.33,-696,-0.07,3611,0.36
2299,Entry short,2025-10-22 08:00,Short,4155.5,24,99732,-48,0.00,3288,0.33,-696,-0.07,3611,0.36
2300,Exit short,2025-10-22 08:15,Short Exit,4152.6,24,99825.6,1536,0.15,2040,0.20,0,0.00,5147,0.51
2300,Entry short,2025-10-22 08:10,Short,4159.4,24,99825.6,1536,0.15,2040,0.20,0,0.00,5147,0.51
2301,Exit short,2025-10-22 09:20,Short Exit,4102.2,24,99146.4,6840,0.69,13056,1.32,-576,-0.06,11987,1.20
2301,Entry short,2025-10-22 09:00,Short,4131.1,24,99146.4,6840,0.69,13056,1.32,-576,-0.06,11987,1.20
2302,Exit short,2025-10-22 12:05,Short Exit,4049.4,24,97656,4608,0.47,9384,0.96,-1704,-0.17,16595,1.66
2302,Entry short,2025-10-22 11:40,Short,4069,24,97656,4608,0.47,9384,0.96,-1704,-0.17,16595,1.66
2303,Exit short,2025-10-22 14:50,Short Exit,4085.9,24,98066.4,-48,0.00,1872,0.19,-1632,-0.17,16547,1.65
2303,Entry short,2025-10-22 14:40,Short,4086.1,24,98066.4,-48,0.00,1872,0.19,-1632,-0.17,16547,1.65
2304,Exit short,2025-10-22 16:00,Short Exit,4039.3,25,100987.5,-50,0.00,3525,0.35,-1150,-0.11,16497,1.65
2304,Entry short,2025-10-22 15:45,Short,4039.5,25,100987.5,-50,0.00,3525,0.35,-1150,-0.11,16497,1.65
2305,Exit long,2025-10-22 20:35,Long Exit,4122.7,24,98476.8,4584,0.47,6744,0.68,-648,-0.07,21081,2.11
2305,Entry long,2025-10-22 20:00,Long,4103.2,24,98476.8,4584,0.47,6744,0.68,-648,-0.07,21081,2.11
2306,Exit long,2025-10-22 23:20,Long Exit,4116.7,24,99088.8,-2976,-0.30,0,0.00,-4536,-0.46,18105,1.81
2306,Entry long,2025-10-22 23:00,Long,4128.7,24,99088.8,-2976,-0.30,0,0.00,-4536,-0.46,18105,1.81
2307,Exit long,2025-10-23 01:15,Long Exit,4099.7,24,98695.2,-3120,-0.32,216,0.02,-3072,-0.31,14985,1.50
2307,Entry long,2025-10-23 01:00,Long,4112.3,24,98695.2,-3120,-0.32,216,0.02,-3072,-0.31,14985,1.50
2308,Exit short,2025-10-23 01:30,Short Exit,4098.5,24,98344.8,-288,-0.03,3936,0.40,-408,-0.04,14697,1.47
2308,Entry short,2025-10-23 01:15,Short,4097.7,24,98344.8,-288,-0.03,3936,0.40,-408,-0.04,14697,1.47
2309,Exit short,2025-10-23 02:10,Short Exit,4091.8,24,98208,-48,0.00,1200,0.12,-1728,-0.18,14649,1.46
2309,Entry short,2025-10-23 02:00,Short,4092,24,98208,-48,0.00,1200,0.12,-1728,-0.18,14649,1.46
2310,Exit long,2025-10-23 07:15,Long Exit,4141.4,24,98635.2,7488,0.76,10200,1.03,-1032,-0.10,22137,2.21
2310,Entry long,2025-10-23 06:30,Long,4109.8,24,98635.2,7488,0.76,10200,1.03,-1032,-0.10,22137,2.21
2311,Exit long,2025-10-23 07:30,Long Exit,4134.8,24,99374.4,-1488,-0.15,912,0.09,-1440,-0.14,20649,2.06
2311,Entry long,2025-10-23 07:20,Long,4140.6,24,99374.4,-1488,-0.15,912,0.09,-1440,-0.14,20649,2.06
2312,Exit long,2025-10-23 11:40,Long Exit,4127.6,24,99057.6,-48,0.00,1416,0.14,-72,-0.01,20601,2.06
2312,Entry long,2025-10-23 11:30,Long,4127.4,24,99057.6,-48,0.00,1416,0.14,-72,-0.01,20601,2.06
2313,Exit long,2025-10-23 12:40,Long Exit,4126.9,24,99014.4,216,0.02,2328,0.24,-2688,-0.27,20817,2.08
2313,Entry long,2025-10-23 11:45,Long,4125.6,24,99014.4,216,0.02,2328,0.24,-2688,-0.27,20817,2.08
2314,Exit short,2025-10-23 13:25,Short Exit,4122.2,24,98764.8,-1776,-0.18,0,0.00,-2112,-0.21,19041,1.90
2314,Entry short,2025-10-23 13:20,Short,4115.2,24,98764.8,-1776,-0.18,0,0.00,-2112,-0.21,19041,1.90
2315,Exit long,2025-10-23 14:15,Long Exit,4148.7,24,99184.8,3744,0.38,4872,0.49,-288,-0.03,22785,2.28
2315,Entry long,2025-10-23 13:30,Long,4132.7,24,99184.8,3744,0.38,4872,0.49,-288,-0.03,22785,2.28
2316,Exit long,2025-10-23 14:30,Long Exit,4162.3,24,99518.4,3672,0.37,4560,0.46,0,0.00,26457,2.65
2316,Entry long,2025-10-23 14:15,Long,4146.6,24,99518.4,3672,0.37,4560,0.46,0,0.00,26457,2.65
