Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
44,Entry long,2025-04-11 02:00,Long,3235.4,2,6470.8,-216,-0.33,98,0.15,-212,-0.33,1484,0.15
45,Exit short,2025-04-13 23:05,EOD Close 21:00 UTC,3236.9,2,6474,-6,-0.01,112,0.17,-48,-0.07,1478,0.15
45,Entry short,2025-04-13 23:00,Short,3237,2,6474,-6,-0.01,112,0.17,-48,-0.07,1478,0.15
46,Exit short,2025-04-14 12:05,Short Exit,3234.3,2,6445.6,-238,-0.37,14,0.02,-234,-0.36,1240,0.12
46,Entry short,2025-04-14 11:20,Short,3222.8,2,6445.6,-238,-0.37,14,0.02,-234,-0.36,1240,0.12
47,Exit long,2025-04-16 05:55,Long Exit,3300,2,6538.2,610,0.93,614,0.94,-8,-0.01,1850,0.19
47,Entry long,2025-04-16 00:55,Long,3269.1,2,6538.2,610,0.93,614,0.94,-8,-0.01,1850,0.19
48,Exit long,2025-04-16 14:20,Long Exit,3318.7,2,6657.6,-210,-0.32,12,0.02,-206,-0.31,1640,0.16
48,Entry long,2025-04-16 13:40,Long,3328.8,2,6657.6,-210,-0.32,12,0.02,-206,-0.31,1640,0.16
49,Exit long,2025-04-16 23:05,EOD Close 21:00 UTC,3367.8,2,6725.8,90,0.13,108,0.16,-4,-0.01,1730,0.17
49,Entry long,2025-04-16 23:00,Long,3362.9,2,6725.8,90,0.13,108,0.16,-4,-0.01,1730,0.17
50,Exit long,2025-04-20 23:20,EOD Close 21:00 UTC,3360.7,2,6723.2,-26,-0.04,124,0.18,-52,-0.08,1704,0.17
50,Entry long,2025-04-20 23:15,Long,3361.6,2,6723.2,-26,-0.04,124,0.18,-52,-0.08,1704,0.17
51,Exit long,2025-04-21 12:35,Long Exit,3412.9,2,6767.6,574,0.85,578,0.85,-116,-0.17,2278,0.23
51,Entry long,2025-04-21 01:40,Long,3383.8,2,6767.6,574,0.85,578,0.85,-116,-0.17,2278,0.23
52,Exit long,2025-04-22 02:45,Long Exit,3463.6,2,6870.8,556,0.81,560,0.81,-134,-0.20,2834,0.28
52,Entry long,2025-04-22 01:15,Long,3435.4,2,6870.8,556,0.81,560,0.81,-134,-0.20,2834,0.28
53,Exit short,2025-04-22 14:20,Short Exit,3457.5,2,6893.6,-222,-0.32,306,0.44,-218,-0.32,2612,0.26
53,Entry short,2025-04-22 13:45,Short,3446.8,2,6893.6,-222,-0.32,306,0.44,-218,-0.32,2612,0.26
