Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
96,Entry short,2025-09-18 23:20,Short Entry,3675.6,2,7351.2,-141.02,-0.19,0,0.00,-79.51,-0.11,-11679.56,-11.68
97,Exit long,2025-09-19 02:50,Long Exit,3667.9,2,7353.8,-326.9,-0.44,76.46,0.10,-253.54,-0.34,-12006.46,-12.01
97,Entry long,2025-09-19 02:05,Long Entry,3676.9,2,7353.8,-326.9,-0.44,76.46,0.10,-253.54,-0.34,-12006.46,-12.01
98,Exit short,2025-09-21 23:05,EOD Close 21:00 UTC,3722.1,2,7343.8,-1151.88,-1.57,0,0.00,-1145.44,-1.56,-13158.34,-13.16
98,Entry short,2025-09-19 02:55,Short Entry,3671.9,2,7343.8,-1151.88,-1.57,0,0.00,-1145.44,-1.56,-13158.34,-13.16
99,Exit short,2025-09-22 16:20,Short Exit,3762.7,2,7511.8,-286.37,-0.38,120.88,0.16,-211.12,-0.28,-13444.71,-13.44
99,Entry short,2025-09-22 12:45,Short Entry,3755.9,2,7511.8,-286.37,-0.38,120.88,0.16,-211.12,-0.28,-13444.71,-13.44
100,Exit short,2025-09-22 23:35,EOD Close 21:00 UTC,3778.5,2,7555.6,-165.13,-0.22,0,0.00,-117.56,-0.16,-13609.84,-13.61
100,Entry short,2025-09-22 23:30,Short Entry,3777.8,2,7555.6,-165.13,-0.22,0,0.00,-117.56,-0.16,-13609.84,-13.61
101,Exit long,2025-09-23 00:30,EOD Close 21:00 UTC,3781.4,2,7563,-153.26,-0.20,0,0.00,-99.63,-0.13,-13763.1,-13.76
101,Entry long,2025-09-23 00:25,Long Entry,3781.5,2,7563,-153.26,-0.20,0,0.00,-99.63,-0.13,-13763.1,-13.76
102,Exit short,2025-09-23 09:25,Short Exit,3793.4,2,7559,-429.46,-0.57,64.41,0.09,-353.59,-0.47,-14192.55,-14.19
102,Entry short,2025-09-23 03:15,Short Entry,3779.5,2,7559,-429.46,-0.57,64.41,0.09,-353.59,-0.47,-14192.55,-14.19
