Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
15,Entry short,2025-08-19 03:05,Short Entry,3374.3,2,6748.6,-297.13,-0.44,0,0.00,-229.49,-0.34,-3000,-3.00
16,Exit long,2025-08-19 04:10,Long Exit,3383.3,2,6767,-139.34,-0.21,0,0.00,-73.67,-0.11,-3139.34,-3.14
16,Entry long,2025-08-19 04:05,Long Entry,3383.5,2,6767,-139.34,-0.21,0,0.00,-73.67,-0.11,-3139.34,-3.14
17,Exit short,2025-08-19 08:05,Short Exit,3384.4,2,6757.4,-249.26,-0.37,0,0.00,-181.57,-0.27,-3388.6,-3.39
17,Entry short,2025-08-19 07:45,Short Entry,3378.7,2,6757.4,-249.26,-0.37,0,0.00,-181.57,-0.27,-3388.6,-3.39
18,Exit long,2025-08-19 08:10,Long Exit,3385.3,2,6771.2,-141.42,-0.21,0,0.00,-73.71,-0.11,-3530.02,-3.53
18,Entry long,2025-08-19 08:05,Long Entry,3385.6,2,6771.2,-141.42,-0.21,0,0.00,-73.71,-0.11,-3530.02,-3.53
19,Exit short,2025-08-19 14:05,Short Exit,3375.5,2,6769,44.8,0.07,112.31,0.17,-83.69,-0.12,-3485.22,-3.49
19,Entry short,2025-08-19 13:00,Short Entry,3384.5,2,6769,44.8,0.07,112.31,0.17,-83.69,-0.12,-3485.22,-3.49
20,Exit long,2025-08-19 15:35,Long Exit,3372.9,2,6760.8,-285.07,-0.42,0,0.00,-217.61,-0.32,-3770.29,-3.77
20,Entry long,2025-08-19 14:35,Long Entry,3380.4,2,6760.8,-285.07,-0.42,0,0.00,-217.61,-0.32,-3770.29,-3.77
21,Exit short,2025-08-20 13:20,Short Exit,3381.5,2,6740.6,-359.04,-0.53,272.59,0.40,-291.41,-0.43,-4129.32,-4.13
21,Entry short,2025-08-19 15:45,Short Entry,3370.3,2,6740.6,-359.04,-0.53,272.59,0.40,-291.41,-0.43,-4129.32,-4.13
22,Exit short,2025-08-21 03:25,Short Exit,3382.7,2,6780.8,18.54,0.03,86.19,0.13,-87.81,-0.13,-4110.78,-4.11
22,Entry short,2025-08-21 00:20,Short Entry,3390.4,2,6780.8,18.54,0.03,86.19,0.13,-87.81,-0.13,-4110.78,-4.11
23,Exit long,2025-08-21 11:35,Long Exit,3377.6,2,6765.4,-237.21,-0.35,0,0.00,-169.65,-0.25,-4347.99,-4.35
23,Entry long,2025-08-21 08:50,Long Entry,3382.7,2,6765.4,-237.21,-0.35,0,0.00,-169.65,-0.25,-4347.99,-4.35
24,Exit long,2025-08-22 05:45,Long Exit,3371.3,2,6761.6,-325.04,-0.48,156.38,0.23,-257.62,-0.38,-4673.03,-4.67
24,Entry long,2025-08-21 13:05,Long Entry,3380.8,2,6761.6,-325.04,-0.48,156.38,0.23,-257.62,-0.38,-4673.03,-4.67
25,Exit long,2025-08-22 13:10,Long Exit,3367,2,6747.4,-268.81,-0.40,14.53,0.02,-201.47,-0.30,-4941.85,-4.94
25,Entry long,2025-08-22 08:05,Long Entry,3373.7,2,6747.4,-268.81,-0.40,14.53,0.02,-201.47,-0.30,-4941.85,-4.94
26,Exit long,2025-08-22 15:00,Long Exit,3390.7,2,6746.8,210.72,0.31,278.53,0.41,-83.47,-0.12,-4731.13,-4.73
26,Entry long,2025-08-22 14:35,Long Entry,3373.4,2,6746.8,210.72,0.31,278.53,0.41,-83.47,-0.12,-4731.13,-4.73
27,Exit short,2025-08-25 15:10,Short Exit,3419.2,2,6827.2,-248.66,-0.36,93.73,0.14,-180.27,-0.26,-4979.78,-4.98
27,Entry short,2025-08-24 23:05,Short Entry,3413.6,2,6827.2,-248.66,-0.36,93.73,0.14,-180.27,-0.26,-4979.78,-4.98
28,Exit short,2025-08-26 00:10,Short Exit,3405.1,2,6827.4,35.62,0.05,103.73,0.15,-84.27,-0.12,-4944.16,-4.94
28,Entry short,2025-08-25 20:05,Short Entry,3413.7,2,6827.4,35.62,0.05,103.73,0.15,-84.27,-0.12,-4944.16,-4.94
29,Exit long,2025-08-26 01:20,Long Exit,3423.8,2,6811.6,223.41,0.33,291.88,0.43,-82.12,-0.12,-4720.75,-4.72
29,Entry long,2025-08-26 01:10,Long Entry,3405.8,2,6811.6,223.41,0.33,291.88,0.43,-82.12,-0.12,-4720.75,-4.72
30,Exit short,2025-08-26 12:40,Short Exit,3427.2,2,6838.2,-298.93,-0.44,57.62,0.08,-230.38,-0.34,-5019.68,-5.02
30,Entry short,2025-08-26 04:10,Short Entry,3419.1,2,6838.2,-298.93,-0.44,57.62,0.08,-230.38,-0.34,-5019.68,-5.02
31,Exit short,2025-08-26 16:00,Short Exit,3428.4,2,6837.8,-326.95,-0.48,0,0.00,-258.38,-0.38,-5346.62,-5.35
31,Entry short,2025-08-26 14:00,Short Entry,3418.9,2,6837.8,-326.95,-0.48,0,0.00,-258.38,-0.38,-5346.62,-5.35
32,Exit short,2025-08-27 05:20,Short Exit,3428.9,2,6878,64.64,0.09,133.22,0.19,-158.78,-0.23,-5281.98,-5.28
32,Entry short,2025-08-26 23:15,Short Entry,3439,2,6878,64.64,0.09,133.22,0.19,-158.78,-0.23,-5281.98,-5.28
33,Exit long,2025-08-27 08:00,Long Exit,3425.5,2,6862.6,-253.14,-0.37,0,0.00,-184.63,-0.27,-5535.12,-5.54
33,Entry long,2025-08-27 07:20,Long Entry,3431.3,2,6862.6,-253.14,-0.37,0,0.00,-184.63,-0.27,-5535.12,-5.54
34,Exit short,2025-08-27 08:05,Short Exit,3425,2,6849.8,-139,-0.20,0,0.00,-72.5,-0.11,-5674.12,-5.67
34,Entry short,2025-08-27 08:00,Short Entry,3424.9,2,6849.8,-139,-0.20,0,0.00,-72.5,-0.11,-5674.12,-5.67
35,Exit long,2025-08-27 11:30,Long Exit,3423.9,2,6860.6,-265.08,-0.39,9.39,0.01,-196.61,-0.29,-5939.2,-5.94
35,Entry long,2025-08-27 09:00,Long Entry,3430.3,2,6860.6,-265.08,-0.39,9.39,0.01,-196.61,-0.29,-5939.2,-5.94
36,Exit long,2025-08-27 17:30,Long Exit,3445.8,2,6859.4,184.49,0.27,253.41,0.37,-190.59,-0.28,-5754.71,-5.75
36,Entry long,2025-08-27 13:25,Long Entry,3429.7,2,6859.4,184.49,0.27,253.41,0.37,-190.59,-0.28,-5754.71,-5.75
37,Exit short,2025-08-28 09:35,Short Exit,3453.5,2,6896.4,-244.03,-0.35,47.04,0.07,-174.96,-0.25,-5998.74,-6.00
37,Entry short,2025-08-28 02:00,Short Entry,3448.2,2,6896.4,-244.03,-0.35,47.04,0.07,-174.96,-0.25,-5998.74,-6.00
38,Exit short,2025-08-28 12:20,Short Exit,3456.8,2,6904.2,-232.18,-0.34,0,0.00,-163.04,-0.24,-6230.92,-6.23
38,Entry short,2025-08-28 11:10,Short Entry,3452.1,2,6904.2,-232.18,-0.34,0,0.00,-163.04,-0.24,-6230.92,-6.23
39,Exit long,2025-08-28 12:25,Long Exit,3457.6,2,6916,-146.31,-0.21,0,0.00,-77.16,-0.11,-6377.23,-6.38
39,Entry long,2025-08-28 12:20,Long Entry,3458,2,6916,-146.31,-0.21,0,0.00,-77.16,-0.11,-6377.23,-6.38
40,Exit short,2025-08-28 15:35,Short Exit,3469.1,2,6918,-340.56,-0.49,66.82,0.10,-271.18,-0.39,-6717.8,-6.72
40,Entry short,2025-08-28 13:40,Short Entry,3459,2,6918,-340.56,-0.49,66.82,0.10,-271.18,-0.39,-6717.8,-6.72
41,Exit short,2025-08-29 11:05,Short Exit,3465.7,2,6950,47.19,0.07,116.5,0.17,-87.5,-0.13,-6670.61,-6.67
41,Entry short,2025-08-29 01:35,Short Entry,3475,2,6950,47.19,0.07,116.5,0.17,-87.5,-0.13,-6670.61,-6.67
42,Exit long,2025-08-29 14:15,Long Exit,3479.4,2,6937,79.04,0.11,148.63,0.21,-157.37,-0.23,-6591.57,-6.59
42,Entry long,2025-08-29 12:50,Long Entry,3468.5,2,6937,79.04,0.11,148.63,0.21,-157.37,-0.23,-6591.57,-6.59
43,Exit short,2025-08-29 21:05,Short Exit,3516.9,2,7019.2,-286.53,-0.41,0,0.00,-216.19,-0.31,-6878.1,-6.88
43,Entry short,2025-08-29 19:55,Short Entry,3509.6,2,7019.2,-286.53,-0.41,0,0.00,-216.19,-0.31,-6878.1,-6.88
44,Exit short,2025-09-01 02:50,Short Exit,3519.9,2,7024.6,-292.64,-0.42,55.75,0.08,-222.25,-0.32,-7170.74,-7.17
44,Entry short,2025-08-31 23:10,Short Entry,3512.3,2,7024.6,-292.64,-0.42,55.75,0.08,-222.25,-0.32,-7170.74,-7.17
45,Exit short,2025-09-02 02:10,Short Exit,3557.7,2,7090.6,-390.06,-0.55,121.09,0.17,-318.91,-0.45,-7560.8,-7.56
45,Entry short,2025-09-01 08:05,Short Entry,3545.3,2,7090.6,-390.06,-0.55,121.09,0.17,-318.91,-0.45,-7560.8,-7.56
46,Exit short,2025-09-02 08:50,Short Exit,3541.2,2,7119.6,229.98,0.32,300.8,0.42,-93.2,-0.13,-7330.82,-7.33
46,Entry short,2025-09-02 07:15,Short Entry,3559.8,2,7119.6,229.98,0.32,300.8,0.42,-93.2,-0.13,-7330.82,-7.33
47,Exit long,2025-09-02 13:35,Long Exit,3540.4,2,7102,-353.83,-0.50,190.98,0.27,-283.02,-0.40,-7684.65,-7.68
47,Entry long,2025-09-02 11:10,Long Entry,3551,2,7102,-353.83,-0.50,190.98,0.27,-283.02,-0.40,-7684.65,-7.68
48,Exit long,2025-09-02 20:20,Long Exit,3600.3,2,7117.4,688.82,0.97,760.83,1.07,-155.17,-0.22,-6995.83,-7.00
48,Entry long,2025-09-02 15:10,Long Entry,3558.7,2,7117.4,688.82,0.97,760.83,1.07,-155.17,-0.22,-6995.83,-7.00
49,Exit short,2025-09-03 01:15,Short Exit,3600.1,2,7191.2,-233.91,-0.32,0,0.00,-161.91,-0.22,-7229.74,-7.23
49,Entry short,2025-09-03 00:35,Short Entry,3595.6,2,7191.2,-233.91,-0.32,0,0.00,-161.91,-0.22,-7229.74,-7.23
